id;first_name;last_name;email;party;pic;pic_content_type;bio
1;Anna;Hand-Bradtke;Vada_Kuvalis99@hotmail.com;U;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;Vernice;Lockman;Myriam21@yahoo.com;R;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;Thalia;Kuhic;Shanel10@hotmail.com;I;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;Yessenia;Kessler;Nora18@gmail.com;U;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;Dean;Hermann;Rosario26@gmail.com;D;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;Antonietta;Greenfelder;Queen85@hotmail.com;U;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;Dagmar;Kessler;Brandy_Sawayn14@gmail.com;I;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;Javonte;Stark;Marquise.Cummings@hotmail.com;I;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;Moises;Ratke-Littel;Garrison_Erdman47@yahoo.com;R;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;Winona;Okuneva;Reina_DAmore42@yahoo.com;U;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
